"Source Name","Association","RA","Dec","Classification (code)","TEV Cat","TEV Association","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0035.9+5949","1ES 0033+595","8.9891","59.8318","bll","P","1ES 0033+595","BL LAC","Link","Link","Link"
"3FGL J0037.9+1239","NVSS J003750+123818","9.4766","12.6518","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0038.0-2501","PKS 0035-252","9.5085","-25.032","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0038.0+0012","NVSS J003808+001336","9.5226","0.2095","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0039.0-2218","PMN J0039-2220","9.7505","-22.3068","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0039.1-0939","TXS 0036-099","9.7821","-9.6578","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0039.1+4330","NVSS J003907+433015","9.7979","43.5016","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0039.3+6256",,"9.8342","62.9415",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0040.3+4049","B3 0037+405","10.083","40.8178","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0040.5-2339","PMN J0040-2340","10.1471","-23.6513","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0041.9+3639","RX J0042.0+3641","10.4998","36.6616","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0042.0+2318","PKS 0039+230","10.5182","23.3046","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0042.5+4117","M31","10.6293","41.2957","gal","N",,"Normal galaxy","Link","Link","Link"
"3FGL J0043.5-0444","1RXS J004333.7-044257","10.892","-4.7398","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0043.7-1117","1RXS J004349.3-111612","10.935","-11.2881","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0043.8+3425","GB6 J0043+3426","10.9692","34.4294","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0045.2-3704","PKS 0042-373","11.3109","-37.0796","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0045.3+2126","GB6 J0045+2127","11.3494","21.4459","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0045.7+1217","GB6 J0045+1217","11.4347","12.2881","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0046.7-8419","PKS 0044-84","11.6875","-84.32","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0047.0+5658","GB6 J0047+5657","11.7669","56.9715","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0047.5-2516","NGC 253","11.8866","-25.275","sbg","P","NGC 253","Starburst galaxy","Link","Link","Link"
"3FGL J0047.9+5447","1RXS J004754.5+544758","11.9842","54.797","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0048.0+3950","B3 0045+395","12.0068","39.843","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0048.0+2236","NVSS J004802+223525","12.0133","22.6008","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0048.1-6343",,"12.0496","-63.7318",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0049.0+4224",,"12.253","42.413",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0049.4-5401","PMN J0049-5402","12.3533","-54.0225","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0049.4-4149","1RXS J004939.9-415133","12.3603","-41.825","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0049.7+0237","PKS 0047+023","12.4412","2.6245","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0049.8-5737","PKS 0047-579","12.4626","-57.6245","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0050.0-4458","PMN J0049-4457","12.5135","-44.9717","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0050.4-0449","PKS 0047-051","12.6211","-4.8323","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0050.6-0929","PKS 0048-09","12.6744","-9.4849","BLL","N",,"BL LAC","Link","Link","Link"
"3FGL J0051.0-0649","PKS 0048-071","12.7658","-6.8177","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0051.2-6241","1RXS J005117.7-624154","12.8196","-62.6881","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0051.6+6445",,"12.9039","64.7592",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0054.8-2455","FRBA J0054-2455","13.7234","-24.9235","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0055.2-1213","TXS 0052-125","13.8014","-12.2326","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0056.3-2116","PMN J0056-2117","14.0763","-21.2801","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0056.3-0935","TXS 0053-098","14.0898","-9.5937","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0057.9-0542","PKS 0055-059","14.4827","-5.7083","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0058.0-3233","PKS 0055-328","14.5128","-32.5666","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0058.3+3315","MG3 J005830+3311","14.5872","33.2666","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0059.0-7242e","SMC","14.75","-72.7","GAL","N",,"Normal galaxy","Link","Link","Link"
"3FGL J0059.1-5701","PKS 0056-572","14.7956","-57.0218","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0059.2-0152","1RXS J005916.3-015030","14.8084","-1.883","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0059.6+0003","PKS 0056-00","14.9051","0.0521","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0100.2+0745","GB6 J0100+0745","15.0678","7.7662","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0101.0-6422","PSR J0101-6422","15.2714","-64.373","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0102.1+4458",,"15.5367","44.9718",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0102.1+0943",,"15.54","9.728",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0102.3+4217","GB6 J0102+4214","15.5946","42.2888","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0102.8+4840","PSR J0102+4839","15.7013","48.6728","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0102.8+5825","TXS 0059+581","15.7042","58.4245","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0103.4+5336","1RXS J010325.9+533721","15.8638","53.6153","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0103.7+1323","NVSS J010345+132346","15.9408","13.3925","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0105.1-2415","PKS 0102-245","16.2905","-24.2594","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0105.3+3928","GB6 J0105+3928","16.3305","39.4725","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0106.5+4855","LAT PSR J0106+4855","16.627","48.9241","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0107.0-1208","PMN J0107-1211","16.7701","-12.1425","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0108.5-0035","PKS 0105-008","17.1397","-0.5944","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0108.7+0134","4C +01.02","17.1804","1.579","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0109.1+1816","MG1 J010908+1816","17.2779","18.2696","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0109.8+6132","TXS 0106+612","17.4681","61.5495","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0109.9-4020","RBS 0158","17.4821","-40.334","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0110.2+6806","4C +67.04","17.575","68.115","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0110.9-1254","1RXS J011050.0-125455","17.7349","-12.9125","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0111.5+0535","1RXS J011130.5+053612","17.8771","5.5856","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0112.1+2245","S2 0109+22","18.0266","22.759","BLL","N",,"BL LAC","Link","Link","Link"
"3FGL J0112.8+3207","4C +31.03","18.21","32.127","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0112.9-7506",,"18.2438","-75.1053",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0113.0-3554","PMN J0113-3551","18.2563","-35.9012","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0113.4+4948","S4 0110+49","18.3722","49.8148","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0114.8+1917",,"18.7099","19.2947",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0114.8+1326","GB6 J0114+1325","18.7161","13.4342","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0115.7+0356","PMN J0115+0356","18.9365","3.9415","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0115.8+2519","RX J0115.7+2519","18.9554","25.3297","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0116.0-1134","PKS 0113-118","19.0134","-11.5785","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0116.2-2744","1RXS J011555.6-274428","19.0661","-27.7404","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0116.3-6153","SUMSS J011619-615343","19.099","-61.8906","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0116.8+6913",,"19.22","69.228",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0117.8-2113","PKS 0115-214","19.4516","-21.2181","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0118.8-2142","PKS 0116-219","19.707","-21.7079","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0118.9-1457","1RXS J011905.4-145906","19.7304","-14.9639","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0120.4-2700","PKS 0118-272","20.1239","-27.015","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0121.7+5154","NVSS J012133+515557","20.4495","51.9046","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0121.8-3917",,"20.4574","-39.2861",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0122.8+3423","1ES 0120+340","20.7229","34.391","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0123.7-2312","1RXS J012338.2-231100","20.9281","-23.2027","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0125.2-0627","PMN J0124-0624","21.3156","-6.4578","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0125.4-2548","PKS 0122-260","21.3656","-25.8095","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0126.1-2227","PKS 0123-226","21.5298","-22.4643","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0127.1-0818","PMN J0127-0821","21.7766","-8.3105","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0127.2+0325","NVSS J012713+032259","21.8099","3.4229","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0127.4+5433",,"21.8692","54.5546",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0127.5+5634",,"21.8942","56.5686",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0127.6+4851",,"21.9245","48.8613",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0127.9+2551","4C +25.05","21.9784","25.8552","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0128.4+6257",,"22.1161","62.9619","spp","N",,"SNR/PWN","Link","Link","Link"
"3FGL J0128.5+4430","GB6 J0128+4439","22.1288","44.5067","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0130.8+1441","4C +14.06","22.7178","14.6842","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0131.2+6120","1RXS J013106.4+612035","22.8013","61.335","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0131.3+5548","TXS 0128+554","22.8346","55.8072","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0132.1-5340",,"23.0448","-53.6735",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0132.5-0802","PKS 0130-083","23.1351","-8.0498","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0132.6-1655","PKS 0130-17","23.1707","-16.9179","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0133.0-4413","SUMSS J013306-441422","23.2521","-44.2316","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0133.2-4737",,"23.307","-47.6199",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0133.2-5159","PKS 0131-522","23.3202","-51.9868","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0133.3+5930",,"23.3364","59.5141",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0133.3+4324","B3 0129+431","23.3378","43.4026","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0134.3-3842","PMN J0134-3843","23.5775","-38.7051","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0134.5+2638","1RXS J013427.2+263846","23.6301","26.6376","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0135.0+6927","TXS 0130+691","23.7554","69.4657","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0136.5+3905","B3 0133+388","24.1305","39.0963","bll","P","RGB J0136+391","BL LAC","Link","Link","Link"
"3FGL J0137.0+4752","OC 457","24.2569","47.8764","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0137.6-2430","PKS 0135-247","24.4147","-24.5104","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0137.8+5813","1RXS J013748.0+581422","24.4582","58.2316","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0138.5-4612",,"24.6493","-46.2039",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0139.9+8735","NVSS J013913+873754","24.9828","87.6","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0141.4-0929","PKS 0139-09","25.367","-9.4851","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0143.7-5845","SUMSS J014347-584550","25.9292","-58.7662","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0144.6+2705","TXS 0141+268","26.1566","27.0888","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0145.1-2732","PKS 0142-278","26.2921","-27.5339","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0145.6+8600","NVSS J014929+860114","26.4148","86.0021","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0146.4-6746","SUMSS J014554-674646","26.6193","-67.7678","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0147.0-5204","PKS 0144-522","26.7656","-52.0781","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0148.3+5200","GB6 J0148+5202","27.0854","52.0099","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0148.6+0128","PMN J0148+0129","27.1611","1.474","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0149.6+4846",,"27.4211","48.7693",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0150.5-5447","PMN J0150-5450","27.6263","-54.7877","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0151.0-3609","PMN J0151-3605","27.7597","-36.1557","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0151.0+0537","PMN J0151+0540","27.7611","5.6272","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0151.6+2205","PKS 0149+21","27.9173","22.0919","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0152.2+3707","B2 0149+37","28.0723","37.1323","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0152.6+0148","PMN J0152+0146","28.162","1.8075","bll","P","RGB J0152+017","BL LAC","Link","Link","Link"
"3FGL J0152.8+7517","1RXS J015308.4+751756","28.2161","75.2901","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0153.4+7114","TXS 0149+710","28.3595","71.2417","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0154.0+0824","GB6 J0154+0823","28.5104","8.4096","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0154.1+4642",,"28.535","46.702",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0154.9+4433","GB6 J0154+4433","28.7369","44.5536","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0156.3+3913","MG4 J015630+3913","29.0932","39.2311","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0156.5-2423",,"29.128","-24.3925",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0156.9-4742","2MASS J01564603-4744174","29.2403","-47.7111","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0157.0-5301","1RXS J015658.6-530208","29.2511","-53.027","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0157.9-4615","PMN J0157-4614","29.4811","-46.2599","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0158.6-3931","PMN J0158-3932","29.663","-39.5328","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0158.6+0102",,"29.6732","1.041",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0159.4+1046","RX J0159.5+1047","29.8618","10.7807","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0159.8-2741","PMN J0159-2739","29.9587","-27.6962","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0200.3-4108",,"30.0799","-41.1452",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0200.9-6635","PMN J0201-6638","30.2447","-66.5914","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0202.3+0851","TXS 0159+085","30.5916","8.8584","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0202.5+4206","B3 0159+418","30.6334","42.1127","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0203.1-0227","RX J0202.9-0223","30.7946","-2.4559","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0203.6+1148",,"30.9169","11.8028",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0203.6+3043","NVSS J020344+304238","30.9227","30.7172","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0204.0+7234","S5 0159+723","31.0028","72.5783","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0204.2+2420","B2 0201+24","31.0615","24.3438","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0204.8+3212","B2 0202+31","31.2231","32.2017","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0205.0+1510","4C +15.05","31.2595","15.1798","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0205.2-1700","PKS 0202-17","31.3233","-17.0054","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0205.5+6448","PSR J0205+6449","31.3957","64.815","PSR","P","3C 58","Pulsar","Link","Link","Link"
"3FGL J0206.4-1150","PMN J0206-1150","31.6058","-11.8488","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0207.9-3846","PKS 0205-391","31.9847","-38.7746","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0208.0-6838","PKS 0206-688","32.0248","-68.6476","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0208.6+3522","MS 0205.7+3509","32.1698","35.3827","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0209.4-5229","1RXS J020922.2-522920","32.3707","-52.4979","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0209.5+4449","1RXS J020917.6+444951","32.384","44.8173","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0210.7-5101","PKS 0208-512","32.6972","-51.0282","BCU","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0211.0+1922",,"32.7546","19.3833",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0211.2+1051","MG1 J021114+1051","32.817","10.8578","BLL","N",,"BL LAC","Link","Link","Link"
"3FGL J0211.2-0649","NVSS J021116-064422","32.8182","-6.8287","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0211.7+5402","TXS 0207+538","32.9286","54.0474","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0212.1+5320",,"33.0371","53.336",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0212.8-3504","RBS 0292","33.2069","-35.0682","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0213.0+2245","MG3 J021252+2246","33.2654","22.7647","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0213.1-2720","PMN J0212-2719","33.2863","-27.3488","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0214.4+5143","TXS 0210+515","33.611","51.7229","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0214.7-5823","PMN J0214-5822","33.6916","-58.3878","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0216.0+0300",,"34.0134","3.0164",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0216.1-7016","PMN J0215-7014","34.0419","-70.2733","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0216.4+0507",,"34.1087","5.1328",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0216.6-1019","PMN J0216-1017","34.1705","-10.3288","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0217.0-6635","RBS 0300","34.2595","-66.5919","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0217.1-0833","PKS 0214-085","34.286","-8.5657","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0217.2+0837","ZS 0214+083","34.3249","8.618","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0217.3+6209","TXS 0213+619","34.3465","62.1542","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0217.5+7349","S5 0212+73","34.3802","73.8298","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0217.8+0143","PKS 0215+015","34.4681","1.7328","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0218.1+4233","PSR J0218+4232","34.5459","42.5543","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0218.9+3642","MG3 J021846+3641","34.7465","36.7075","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0219.0+2440","87GB 021610.9+243205","34.7679","24.6791","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0220.1+6202c",,"35.0481","62.0438","spp","N",,"SNR/PWN","Link","Link","Link"
"3FGL J0221.1+3556","B0218+357","35.2801","35.9407","FSRQ","P","S3 0218+35","FSRQ","Link","Link","Link"
"3FGL J0221.1+6059",,"35.2994","60.9969",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0221.2+2518",,"35.3203","25.3056",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0221.8+6138c",,"35.4729","61.6414",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0222.1-1616","PKS 0219-164","35.5317","-16.28","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0222.6+4301","3C 66A","35.6735","43.0329","BLL","P","3C 66A","BL LAC","Link","Link","Link"
"3FGL J0222.9-1117","1RXS J022314.6-111741","35.7405","-11.2968","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0223.3+6820","NVSS J022304+682154","35.8262","68.3428","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0223.5+6313","TXS 0219+628","35.8832","63.2256","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0223.6+6204",,"35.9061","62.0811",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0223.6+3927",,"35.9179","39.4527",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0224.0+6235",,"36.0161","62.5982","spp","N",,"SNR/PWN","Link","Link","Link"
"3FGL J0224.1-7941","PMN J0223-7940","36.0476","-79.6916","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0224.1-1846",,"36.0477","-18.7816",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0224.4+1615",,"36.1143","16.2632",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0225.2-2602","PMN J0225-2603","36.3116","-26.038","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0225.8+6159",,"36.4722","61.987",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0226.3+0941","PMN J0226+0937","36.58","9.6843","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0226.5-4442","RBS 0318","36.6314","-44.7142","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0226.7-4747",,"36.6951","-47.7837",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0227.2+0201","RX J0227.2+0201","36.8062","2.0306","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0228.0+2248","NVSS J022744+224834","37.0078","22.8005","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0228.3-5545","PKS 0226-559","37.0784","-55.7618","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0228.5+6703","GB6 J0229+6706","37.1321","67.0558","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0228.5+8213",,"37.1327","82.2222",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0228.7-3106","PMN J0228-3102","37.1981","-31.1068","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0229.3-3643","PKS 0227-369","37.3445","-36.7312","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0230.6-5757","PKS 0229-581","37.6712","-57.9566","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0230.8+4032","B3 0227+403","37.702","40.5432","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0231.0+1302",,"37.7747","13.0445",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0232.6+0646",,"38.1631","6.7717",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0232.8+2016","1ES 0229+200","38.2187","20.271","bll","P","1ES 0229+200","BL LAC","Link","Link","Link"
"3FGL J0232.9+2606","B2 0230+25","38.2316","26.1035","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0233.0+6237",,"38.2689","62.6227",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0234.2-0629",,"38.5642","-6.4981",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0235.7+5647",,"38.9276","56.7867",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0236.7-6136","PKS 0235-618","39.1955","-61.6004","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0237.5-3603","RBS 0334","39.3994","-36.0588","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0237.9+2848","4C +28.07","39.4801","28.8047","FSRQ","N",,"FSRQ","Link","Link","Link"
"3FGL J0238.0+5237",,"39.5049","52.6256",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0238.3-3904","1RXS J023800.5-390505","39.5879","-39.073","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0238.4-3117","1RXS J023832.6-311658","39.6173","-31.2948","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0238.6+1636","AO 0235+164","39.6672","16.6152","BLL","N",,"BL LAC","Link","Link","Link"
"3FGL J0239.0+2555",,"39.7679","25.92",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0239.4+1326",,"39.8685","13.4428",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0240.0-0253",,"40.0007","-2.8994",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0240.5+6113","LS I+61 303","40.1379","61.2281","HMB","P","LS I +61 303","High-mass binary","Link","Link","Link"
"3FGL J0241.3+6542","TXS 0237+655","40.3441","65.702","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0242.1-0534",,"40.5316","-5.5696",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0242.3+1059","OD 166","40.5845","10.9946","fsrq","N",,"FSRQ","Link","Link","Link"
